Satzart,Textkennzeichen,ARS_Land,ARS_RB,ARS_Kreis,ARS_VB,ARS_Gem,Gemeindename,Fläche_km2,Bevölkerung_insgesamt,Bevölkerung_männlich,Bevölkerung_weiblich,Bevölkerung_je_km2,Postleitzahl,Längengrad,Breitengrad,Reisegebiet_Schlüssel,Reisegebiet_Bezeichnung,Verstädterung_Schlüssel,Verstädterung_Bezeichnung
60,61,01,0,01,0000,000,"Flensburg, Stadt",56.73,96326,47651,48675,1698,24937,9.43751,54.78252,F02,Ostsee,01,dicht besiedelt
60,61,01,0,02,0000,000,"Kiel, Landeshauptstadt",118.65,252668,123532,129136,2130,24103,10.13727,54.321775,F02,Ostsee,01,dicht besiedelt
60,61,01,0,03,0000,000,"Lübeck, Hansestadt",214.19,216889,104309,112580,1013,23539,10.683932,53.866269,F02,Ostsee,01,dicht besiedelt
60,61,01,0,04,0000,000,"Neumünster, Stadt",71.66,79809,39742,40067,1114,24534,9.988422,54.069895,F04,"übrig. Schleswig-Holstein",01,dicht besiedelt
60,63,01,0,51,0011,011,"Brunsbüttel, Stadt",65.21,12692,6419,6273,195,25541,9.13735,53.896932,F01,Nordsee,02,mittlere Besiedlungsdichte
60,63,01,0,51,0044,044,"Heide, Stadt",31.97,22002,10721,11281,688,25746,9.091156,54.193962,F04,"übrig. Schleswig-Holstein",02,mittlere Besiedlungsdichte
60,64,01,0,51,5163,003,Averlak,9.06,608,312,296,67,25715,9.182663,53.941154,F04,"übrig. Schleswig-Holstein",03,gering besiedelt
60,64,01,0,51,5163,010,Brickeln,6.07,186,102,84,31,25712,9.221166,54.00849,F04,"übrig. Schleswig-Holstein",03,gering besiedelt
60,64,01,0,51,5163,012,Buchholz,14.56,992,513,479,68,25712,9.223774,53.987132,F04,"übrig. Schleswig-Holstein",03,gering besiedelt
60,64,01,0,51,5163,016,"Burg (Dithmarschen)",11.25,4070,1972,2098,362,25712,9.26246,53.99748,F04,"übrig. Schleswig-Holstein",03,gering besiedelt
60,64,01,0,51,5163,022,Dingen,7.01,652,322,330,93,25715,9.125804,53.960888,F04,"übrig. Schleswig-Holstein",03,gering besiedelt
60,64,01,0,51,5163,024,Eddelak,9.21,1355,702,653,147,25715,9.137433,53.945888,F04,"übrig. Schleswig-Holstein",03,gering besiedelt
60,64,01,0,51,5163,026,Eggstedt,12.79,744,384,360,58,25721,9.25927,54.054535,F04,"übrig. Schleswig-Holstein",03,gering besiedelt
60,64,01,0,51,5163,032,Frestedt,10.33,344,171,173,33,25727,9.176133,54.023523,F04,"übrig. Schleswig-Holstein",03,gering besiedelt
60,64,01,0,51,5163,037,Großenrade,10.40,468,239,229,45,25712,9.223435,54.02206,F04,"übrig. Schleswig-Holstein",03,gering besiedelt
60,64,01,0,51,5163,051,Hochdonn,5.46,1083,532,551,198,25712,9.293145,54.019564,F04,"übrig. Schleswig-Holstein",03,gering besiedelt
60,64,01,0,51,5163,064,Kuden,11.37,665,342,323,58,25712,9.192822,53.967853,F04,"übrig. Schleswig-Holstein",03,gering besiedelt
60,64,01,0,51,5163,089,Quickborn,6.95,185,90,95,27,25712,9.206618,54.009984,F04,"übrig. Schleswig-Holstein",03,gering besiedelt
60,64,01,0,51,5163,097,"Sankt Michaelisdonn",23.06,3487,1727,1760,151,25693,9.121257,53.994807,F04,"übrig. Schleswig-Holstein",03,gering besiedelt
60,64,01,0,51,5163,110,Süderhastedt,15.74,791,384,407,50,25727,9.20886,54.04991,F04,"übrig. Schleswig-Holstein",03,gering besiedelt
60,64,01,0,51,5166,021,"Diekhusen-Fahrstedt",7.46,667,327,340,89,25709,9.023165,53.946249,F04,"übrig. Schleswig-Holstein",02,mittlere Besiedlungsdichte
60,64,01,0,51,5166,034,Friedrichskoog,53.27,2456,1227,1229,46,25718,8.88014,54.005842,F01,Nordsee,03,gering besiedelt
