id;city;lon;lat
010010000000;Flensburg, Stadt;9,43751;54,78252
010020000000;Kiel, Landeshauptstadt;10,13727;54,321775
010030000000;L�beck, Hansestadt;10,683932;53,866269
010040000000;Neum�nster, Stadt;9,988422;54,069895
010510011011;Brunsb�ttel, Stadt;9,13735;53,896932
010510044044;Heide, Stadt;9,091156;54,193962
010515163003;Averlak;9,182663;53,941154
010515163010;Brickeln;9,221166;54,00849
010515163012;Buchholz;9,223774;53,987132
010515163016;Burg (Dithmarschen);9,26246;53,99748
010515163022;Dingen;9,125804;53,960888
010515163024;Eddelak;9,137433;53,945888
010515163026;Eggstedt;9,25927;54,054535
010515163032;Frestedt;9,176133;54,023523
010515163037;Gro�enrade;9,223435;54,02206
010515163051;Hochdonn;9,293145;54,019564
010515163064;Kuden;9,192822;53,967853
010515163089;Quickborn;9,206618;54,009984
010515163097;Sankt Michaelisdonn;9,121257;53,994807
010515163110;S�derhastedt;9,20886;54,04991
010515166021;Diekhusen-Fahrstedt;9,023165;53,946249
010515166034;Friedrichskoog;8,88014;54,005842
010515166046;Helse;9,010226;53,977556
010515166057;Kaiser-Wilhelm-Koog;8,926364;53,942933
010515166062;Kronprinzenkoog;8,964528;53,97171
010515166072;Marne, Stadt;9,008761;53,953695
010515166073;Marnerdeich;8,982956;53,948483
010515166076;Neufeld;9,017576;53,907495
010515166077;Neufelderkoog;8,968827;53,906958
010515166090;Ramhusen;9,090658;53,941207
010515166103;Schmedeswurth;9,040335;53,926172
010515166118;Trennewurth;9,025792;54,000236
010515166119;Volsemenhusen;9,065625;53,967901
010515169005;Barkenholm;9,174339;54,237387
010515169008;Bergew�hrden;9,209426;54,318469
010515169019;Dellstedt;9,369143;54,237892
010515169020;Delve;9,252365;54,303978
010515169023;D�rpling;9,301925;54,260654
010515169030;Fedderingen;9,132642;54,281144
010515169035;Gaushorn;9,225318;54,194896
010515169036;Gl�sing;9,216421;54,274547
010515169038;Groven;8,989147;54,300165
010515169047;Hemme;9,010966;54,28021
010515169049;Hennstedt;9,168248;54,283636
010515169052;H�vede;9,293409;54,243806
010515169053;Hollingstedt;9,226797;54,290548
010515169058;Karolinenkoog;8,965495;54,292554
010515169060;Kleve;9,123229;54,295706
010515169061;Krempel;9,027607;54,320019
010515169065;Lehe;9,025334;54,344168
010515169068;Linden;9,182428;54,252623
010515169071;Lunden;9,024249;54,330568
010515169080;Norderheistedt;9,146139;54,245331
010515169088;Pahlen;9,296387;54,267813
010515169092;Rehm-Flehde-Bargen;9,036287;54,303981
010515169096;Sankt Annen;9,07975;54,345413
010515169100;Schalkholz;9,257028;54,246244
010515169102;Schlichting;9,089378;54,31014
010515169114;Tellingstedt;9,2822;54,219944
010515169117;Tielenhemme;9,398414;54,27746
010515169120;Wallen;9,269563;54,284766
010515169125;Welmb�ttel;9,246826;54,196873
010515169131;Westerborstel;9,260601;54,220127
010515169133;Wiemerstedt;9,11111;54,269259
010515169136;Wrohm;9,379505;54,212642
010515169139;S�derdorf;9,343678;54,220732
010515169141;S�derheistedt;9,148463;54,23483
010515172048;Hemmingstedt;9,072111;54,147509
010515172067;Lieth;9,060773;54,15531
010515172069;Lohe-Rickelshof;9,065603;54,187725
010515172075;Neuenkirchen;8,987884;54,235602
010515172081;Norderw�hrden;9,000232;54,192783
010515172082;Nordhastedt;9,182991;54,17205
010515172087;Ostrohe;9,130804;54,214
010515172107;Stelle-Wittenwurth;9,066849;54,254357
010515172113;W�hrden;8,994508;54,165463
010515172122;Weddingstedt;9,088863;54,239275
010515172130;Wesseln;9,075443;54,208327
010515175001;Albersdorf;9,283995;54,146557
010515175002;Arkebek;9,250362;54,160197
010515175004;Bargenstedt;9,144199;54,095594
010515175006;Barlt;9,058002;54,012444
010515175015;Bunsoh;9,320225;54,165522
010515175017;Busenwurth;9,041298;54,041407
010515175027;Elpersb�ttel;9,047156;54,072963
010515175028;Epenw�hrden;9,052894;54,112805
010515175039;Gudendorf;9,1082;54,024736
010515175054;Immenstedt;9,299737;54,180686
010515175063;Krumstedt;9,177954;54,068684
010515175074;Meldorf, Stadt;9,068784;54,090945
010515175078;Nindorf;9,114943;54,086722
010515175083;Odderade;9,190795;54,139384
010515175085;Offenb�ttel;9,357994;54,169186
010515175086;Osterrade;9,353264;54,190212
010515175098;Sarzb�ttel;9,184027;54,118843
010515175099;Schafstedt;9,293675;54,079915
010515175104;Schrum;9,251667;54,187229
010515175126;Wennb�ttel;9,325945;54,139359
010515175134;Windbergen;9,117779;54,044978
010515175135;Wolmersdorf;9,103978;54,077114
010515175137;Nordermeldorf;9,013736;54,112068
010515175138;Tensb�ttel-R�st;9,228605;54,105741
010515178013;B�sum;8,859577;54,130341
010515178014;B�sumer Deichhausen;8,890088;54,136175
010515178033;Friedrichsgabekoog;8,941082;54,157516
010515178043;Hedwigenkoog;8,840953;54,177985
010515178045;Hellschen-Heringsand-Unterschaar;8,872882;54,194536
010515178050;Hillgroven;8,874901;54,227921
010515178079;Norddeich;8,899964;54,218049
010515178084;Oesterdeichstrich;8,900566;54,158891
010515178093;Reinsb�ttel;8,911057;54,179073
010515178105;Sch�lp;8,929943;54,241971
010515178108;Str�bbel;8,971812;54,260389
010515178109;S�derdeich;8,91131;54,201711
010515178121;Warwerort;8,921723;54,141177
010515178127;Wesselburen, Stadt;8,920686;54,212159
010515178128;Wesselburener Deichhausen;8,937237;54,174947
010515178129;Wesselburenerkoog;8,876475;54,239438
010515178132;Westerdeichstrich;8,863517;54,162006
010515178140;Oesterwurth;8,991292;54,211016
010530032032;Geesthacht, Stadt;10,371733;53,433112
010530083083;Lauenburg/ Elbe, Stadt;10,554267;53,374189
010530090090;M�lln, Stadt;10,691022;53,629521
010530100100;Ratzeburg, Stadt;10,774492;53,699024
010530116116;Schwarzenbek, Stadt;10,477663;53,502645
010530129129;Wentorf bei Hamburg;10,2519;53,491012
010535308008;Behlendorf;10,667846;53,699475
010535308009;Berkenthin;10,638221;53,734488
010535308011;Bliestorf;10,602527;53,768797
